token	category
啦啦	Cantonese
咁好	Cantonese
咁多人	Cantonese
知唔知	Cantonese
唔好再	Cantonese
嘅地方	Cantonese
講咗	Cantonese
就冇	Cantonese
唔駛	Cantonese
幫佢	Cantonese
果啲	Cantonese
用嚟	Cantonese
戇鳩	Cantonese
有冇人	Cantonese
一啲	Cantonese
冇咩	Cantonese
好啲	Cantonese
嘅問題	Cantonese
唔起	Cantonese
不嬲	Cantonese
唔講	Cantonese
做唔到	Cantonese
佢有	Cantonese
睇唔到	Cantonese
有乜	Cantonese
個啲	Cantonese
佢唔	Cantonese
又冇	Cantonese
得咁	Cantonese
呢啲	Cantonese
除咗	Cantonese
佢老母	Cantonese
係唔	Cantonese
就唔好	Cantonese
住佢	Cantonese
無乜	Cantonese
過嚟	Cantonese
咗膠	Cantonese
就咁	Cantonese
唔掂	Cantonese
都唔識	Cantonese
咗一	Cantonese
唔開心	Cantonese
佢會	Cantonese
唔關	Cantonese
我嘅	Cantonese
嘅一	Cantonese
唔應該	Cantonese
佢話	Cantonese
估唔到	Cantonese
唔係好	Cantonese
想問吓	Cantonese
嘅一個	Cantonese
咁快	Cantonese
而唔係	Cantonese
都唔好	Cantonese
唔理	Cantonese
唔做	Cantonese
用咗	Cantonese
你咁	Cantonese
佢就	Cantonese
搵唔到	Cantonese
得唔得	Cantonese
唔需要	Cantonese
都唔撚	Cantonese
嚟緊	Cantonese
過佢	Cantonese
咁多年	Cantonese
打咗	Cantonese
覺得佢	Cantonese
睇佢	Cantonese
冇咗	Cantonese
無啦啦	Cantonese
唔代表	Cantonese
點解唔	Cantonese
講吓	Cantonese
都唔想	Cantonese
如果唔係	Cantonese
係冇	Cantonese
預咗	Cantonese
會唔會	Cantonese
少咗	Cantonese
就係咁	Cantonese
唔見	Cantonese
講嘅	Cantonese
嗰時	Cantonese
佢都	Cantonese
話唔	Cantonese
唔順	Cantonese
咗我	Cantonese
嘅感覺	Cantonese
唔通	Cantonese
唔錯	Cantonese
咁你	Cantonese
吓吓	Cantonese
香港嘅	Cantonese
情況吓	Cantonese
輸咗	Cantonese
咁易	Cantonese
食咗	Cantonese
睇咗	Cantonese
唔要	Cantonese
唔去	Cantonese
咁就	Cantonese
咗你	Cantonese
唔用	Cantonese
唔信	Cantonese
等佢	Cantonese
有冇人	Cantonese
唔太	Cantonese
嘅手足	Cantonese
乜嘢	Cantonese
佢哋	Cantonese
見佢	Cantonese
但佢	Cantonese
喺香港	Cantonese
中咗	Cantonese
就嚟	Cantonese
乜乜	Cantonese
曱甴	Cantonese
啲野	Cantonese
無咗	Cantonese
唔再	Cantonese
開咗	Cantonese
都唔洗	Cantonese
佢自己	Cantonese
同佢講	Cantonese
唔會	Cantonese
轉咗	Cantonese
啲嘢	Cantonese
做嘢	Cantonese
都咁	Cantonese
算唔算	Cantonese
乜野	Cantonese
冇事	Cantonese
唔過	Cantonese
對佢	Cantonese
贏咗	Cantonese
唔啱	Cantonese
上嘅	Cantonese
啱啱	Cantonese
唔比	Cantonese
架喎	Cantonese
得佢	Cantonese
問佢	Cantonese
嘅就	Cantonese
如果唔係	Cantonese
唔肯	Cantonese
都唔夠	Cantonese
中嘅	Cantonese
乜都	Cantonese
越嚟	Cantonese
真係唔	Cantonese
佢啦	Cantonese
越嚟越	Cantonese
唔中	Cantonese
可唔可以	Cantonese
番嚟	Cantonese
收皮啦	Cantonese
嘅大	Cantonese
唔入	Cantonese
唔會有	Cantonese
好唔好	Cantonese
咁樣	Cantonese
佢講	Cantonese
入唔到	Cantonese
唔鍾意	Cantonese
咗好耐	Cantonese
好嘅	Cantonese
冇用	Cantonese
乜撚野	Cantonese
冇問題	Cantonese
唔洗	Cantonese
洗唔洗	Cantonese
屌鳩	Cantonese
都唔敢	Cantonese
拎嚟	Cantonese
咗先	Cantonese
大嘅	Cantonese
吓個	Cantonese
咁我	Cantonese
收咗	Cantonese
上咗	Cantonese
唔知點解	Cantonese
嗰度	Cantonese
咁高	Cantonese
唔開	Cantonese
唔上	Cantonese
傻鳩	Cantonese
搵佢	Cantonese
頂唔順	Cantonese
埋啲	Cantonese
忍唔住	Cantonese
都唔得	Cantonese
唔食	Cantonese
唔覺	Cantonese
講嘢	Cantonese
睇嚟	Cantonese
啲錢	Cantonese
我冇	Cantonese
見到佢	Cantonese
嘅時間	Cantonese
睇嚟	Cantonese
完咗	Cantonese
有啲	Cantonese
唔切	Cantonese
唔會再	Cantonese
嘅情況	Cantonese
唔買	Cantonese
唔睇	Cantonese
嫁啦	Cantonese
佢同	Cantonese
咁我	Cantonese
就唔係	Cantonese
咗去	Cantonese
用嘅	Cantonese
嚟嘅	Cantonese
佢又	Cantonese
冇咁	Cantonese
佢真係	Cantonese
睇吓	Cantonese
咗幾	Cantonese
係呀	Cantonese
嘅方法	Cantonese
係唔會	Cantonese
佢地嘅	Cantonese
好過啦	Cantonese
嘅朋友	Cantonese
因為佢	Cantonese
嗰種	Cantonese
講啦	Cantonese
佢啲	Cantonese
完全冇	Cantonese
屌佢	Cantonese
好唔	Cantonese
唔好咁	Cantonese
冇可能	Cantonese
年嘅	Cantonese
得嚟	Cantonese
唔俾	Cantonese
都冇用	Cantonese
玩吓	Cantonese
唔似	Cantonese
對唔住	Cantonese
呀嘛	Cantonese
唔巖	Cantonese
但佢	Cantonese
遲啲	Cantonese
知佢	Cantonese
返佢	Cantonese
都唔明	Cantonese
唔計	Cantonese
唔係話	Cantonese
埋佢	Cantonese
嗰邊	Cantonese
嘅機會	Cantonese
咁都	Cantonese
曬啲	Cantonese
咗啲	Cantonese
返啲	Cantonese
佢做	Cantonese
嚟香港	Cantonese
唔同嘅	Cantonese
唔想	Cantonese
唔止	Cantonese
依啲	Cantonese
唔返	Cantonese
啦屌	Cantonese
嗰班	Cantonese
乜鳩	Cantonese
仲唔	Cantonese
你唔係	Cantonese
吓一	Cantonese
咗成	Cantonese
都唔同	Cantonese
為咗	Cantonese
人啦	Cantonese
唔怕	Cantonese
做乜鳩	Cantonese
咗嘅	Cantonese
埋嚟	Cantonese
出嚟嘅	Cantonese
冚家	Cantonese
佢咁	Cantonese
位置喺	Cantonese
真係唔知	Cantonese
傾吓	Cantonese
無咁	Cantonese
冇錢	Cantonese
咁多野	Cantonese
嚟做	Cantonese
衝出嚟	Cantonese
咁玩	Cantonese
令佢	Cantonese
咁睇	Cantonese
唔打	Cantonese
都冇人	Cantonese
咗幾多	Cantonese
冇野	Cantonese
唔落	Cantonese
嘅錢	Cantonese
嘅原因	Cantonese
咗啦	Cantonese
咁上下	Cantonese
咗係	Cantonese
佢係	Cantonese
咁有	Cantonese
唔緊要	Cantonese
新嘅	Cantonese
咁咪	Cantonese
佢話	Cantonese
其實佢	Cantonese
大咗	Cantonese
入面嘅	Cantonese
接受唔到	Cantonese
同佢地	Cantonese
所謂嘅	Cantonese
嚟到	Cantonese
見唔到	Cantonese
唔差	Cantonese
比佢地	Cantonese
嘅一個市鎮	Cantonese
係法國嘅一個市鎮	Cantonese
唔係咁	Cantonese
到咗	Cantonese
錯咗	Cantonese
咗咁耐	Cantonese
一定唔會	Cantonese
做嘅	Cantonese
吓佢	Cantonese
成咁	Cantonese
到嘅	Cantonese
你唔好	Cantonese
真係冇	Cantonese
吓話	Cantonese
吓一代	Cantonese
愈嚟	Cantonese
果吓	Cantonese
濕鳩	Cantonese
嗰隻	Cantonese
愈嚟愈	Cantonese
啦你	Cantonese
咁勁	Cantonese
啲狗	Cantonese
買唔到	Cantonese
唔介意	Cantonese
差啲	Cantonese
唔好意思	Cantonese
嘅咩	Cantonese
咪得囉	Cantonese
嘅都係	Cantonese
佢喺	Cantonese
又唔會	Cantonese
你啦	Cantonese
估唔到	Cantonese
爆佢	Cantonese
好啦	Cantonese
咁撚	Cantonese
唔該	Cantonese
你呀	Cantonese
唔走	Cantonese
咗之後	Cantonese
想問吓	Cantonese
唔大	Cantonese
吓先	Cantonese
玩啦	Cantonese
某啲	Cantonese
如果佢	Cantonese
咁解	Cantonese
我地嘅	Cantonese
出嘅	Cantonese
我唔知	Cantonese
佢好	Cantonese
嘅女仔	Cantonese
佢哋嘅	Cantonese
走啦	Cantonese
有嘅	Cantonese
佢地係	Cantonese
做吓	Cantonese
不嬲	Cantonese
唔鐘意	Cantonese
咗就	Cantonese
咁諗	Cantonese
咁多	Cantonese
有冇得	Cantonese
啲嘅	Cantonese
咗咁多	Cantonese
嘅我	Cantonese
我唔係	Cantonese
死啦	Cantonese
完全唔	Cantonese
過唔到	Cantonese
都冇得	Cantonese
遲吓	Cantonese
望吓	Cantonese
千祈唔好	Cantonese
嚟睇	Cantonese
應該唔會	Cantonese
唔小心	Cantonese
嘅香港	Cantonese
都唔可以	Cantonese
咁簡單	Cantonese
爆咗	Cantonese
都得啦	Cantonese
早啲	Cantonese
諗唔到	Cantonese
啲人	Cantonese
夠唔夠	Cantonese
唔明點解	Cantonese
嚟架	Cantonese
唔知點	Cantonese
個吓	Cantonese
你唔	Cantonese
過嘅	Cantonese
啲乜	Cantonese
唔難	Cantonese
唔著	Cantonese
唔知點解	Cantonese
香港人嘅	Cantonese
改咗	Cantonese
唔驚	Cantonese
啦屌你老母	Cantonese
屌佢老母	Cantonese
嘅關係	Cantonese
拎咗	Cantonese
就唔洗	Cantonese
佢要	Cantonese
唔識	Cantonese
都冇乜	Cantonese
放咗	Cantonese
玩咗	Cantonese
冇曬	Cantonese
上唔到	Cantonese
咁撚樣	Cantonese
係乜	Cantonese
都唔做	Cantonese
吓啦	Cantonese
冇人	Cantonese
仲有冇	Cantonese
有啲人	Cantonese
講出嚟	Cantonese
性嘅	Cantonese
佢都係	Cantonese
真係咁	Cantonese
未呀	Cantonese
嘅巴打	Cantonese
人咁	Cantonese
唔死	Cantonese
鳩你	Cantonese
以嚟	Cantonese
唔對	Cantonese
我唔會	Cantonese
嘅都	Cantonese
出嚟講	Cantonese
係呀	Cantonese
當佢	Cantonese
少啲	Cantonese
換咗	Cantonese
理佢	Cantonese
有冇巴打	Cantonese
架嘛	Cantonese
殺咗	Cantonese
我都唔	Cantonese
算係咁	Cantonese
唔講	Cantonese
真係唔好	Cantonese
你啲	Cantonese
都唔使	Cantonese
喺到	Cantonese
俾啲	Cantonese
唔認	Cantonese
又唔見	Cantonese
唔抵	Cantonese
唔撚	Cantonese
佢去	Cantonese
吓一個	Cantonese
得啦	Cantonese
乜柒	Cantonese
都唔會有	Cantonese
買咗	Cantonese
好冇	Cantonese
我唔解鎖	Cantonese
咁咪	Cantonese
瞓咗	Cantonese
真正嘅	Cantonese
分享吓	Cantonese
根本冇	Cantonese
跌咗	Cantonese
返唔到	Cantonese
啲女	Cantonese
畀佢	Cantonese
都唔肯	Cantonese
唔怪得	Cantonese
由佢	Cantonese
之間嘅	Cantonese
呀媽	Cantonese
鳩佢	Cantonese
比啲	Cantonese
都做唔到	Cantonese
樣嘢	Cantonese
唔想再	Cantonese
係為咗	Cantonese
佢唔係	Cantonese
亂咁	Cantonese
嘅就係	Cantonese
唔舒服	Cantonese
我都唔知	Cantonese
會唔會有	Cantonese
返咗	Cantonese
嗰日	Cantonese
唔出聲	Cantonese
咁撚多	Cantonese
吓你	Cantonese
咁啱	Cantonese
但唔	Cantonese
冇分別	Cantonese
佢想	Cantonese
佢一	Cantonese
同啲	Cantonese
鳩人	Cantonese
唔值得	Cantonese
已經唔係	Cantonese
唔支持	Cantonese
佢冇	Cantonese
攞嚟	Cantonese
唔好睇	Cantonese
間唔中	Cantonese
乜撚嘢	Cantonese
佢先	Cantonese
唔覺得	Cantonese
都唔錯	Cantonese
咁濟	Cantonese
落咗	Cantonese
呢啲人	Cantonese
呢樣嘢	Cantonese
佢可以	Cantonese
搞唔掂	Cantonese
吓自己	Cantonese
唔係話	Cantonese
算啦	Cantonese
喺屋企	Cantonese
你冇	Cantonese
知唔知	Cantonese
唔準	Cantonese
結咗	Cantonese
咁佢	Cantonese
唔好再	Cantonese
識唔識	Cantonese
呢啲嘢	Cantonese
先嚟	Cantonese
咁款	Cantonese
嘅女	Cantonese
都冇咩	Cantonese
我咁	Cantonese
起上嚟	Cantonese
嘅生活	Cantonese
咁少	Cantonese
最大嘅	Cantonese
一嚟	Cantonese
都差唔多	Cantonese
一樣咁	Cantonese
係佢地	Cantonese
咁多位	Cantonese
咗出嚟	Cantonese
但冇	Cantonese
如果佢	Cantonese
好咗	Cantonese
嘅歌	Cantonese
吓半場	Cantonese
都有啲	Cantonese
停咗	Cantonese
過咗	Cantonese
叫人唔好	Cantonese
單嘢	Cantonese
都唔知	Cantonese
佢已經	Cantonese
嘅行為	Cantonese
唔成	Cantonese
區嘅	Cantonese
唔知佢	Cantonese
俾佢地	Cantonese
呀屌你老母	Cantonese
好嬲	Cantonese
使唔使	Cantonese
唔係你	Cantonese
嘅你	Cantonese
將佢	Cantonese
呢啲野	Cantonese
嚟緊	Cantonese
唔使	Cantonese
要佢	Cantonese
聽吓	Cantonese
唔值	Cantonese
嘅國家	Cantonese
因為咁	Cantonese
咁遠	Cantonese
唔知係咪	Cantonese
並唔係	Cantonese
咗少少	Cantonese
嘅男人	Cantonese
講佢	Cantonese
比咗	Cantonese
都唔算	Cantonese
講乜	Cantonese
行吓	Cantonese
人唔	Cantonese
咋嘛	Cantonese
嗰句	Cantonese
你有冇	Cantonese
試吓	Cantonese
死嘅	Cantonese
又唔撚	Cantonese
唔撚到	Cantonese
愛佢	Cantonese
係喺	Cantonese
唔好凶	Cantonese
慣咗	Cantonese
佢仲	Cantonese
吓的	Cantonese
佢無	Cantonese
人嚟	Cantonese
乜事	Cantonese
會咁	Cantonese
又唔知	Cantonese
唔曬	Cantonese
數啦	Cantonese
我唔解鎖我搵律師	Cantonese
吓我	Cantonese
唔一定	Cantonese
你咁講	Cantonese
簽咗	Cantonese
係囉	Cantonese
佢個	Cantonese
但唔係	Cantonese
多啲人	Cantonese
係唔係	Cantonese
哂啲	Cantonese
收皮啦	Cantonese
嘅咪	Cantonese
起咗	Cantonese
好多嘢	Cantonese
講嘅野	Cantonese
唔好講	Cantonese
曬佢	Cantonese
唔好凶我我投訴你	Cantonese
做嘅野	Cantonese
我無野講我唔解鎖我搵律師	Cantonese
吓星期	Cantonese
我唔想	Cantonese
做乜撚	Cantonese
已經冇	Cantonese
嘅香港人	Cantonese
唔聽	Cantonese
拎出嚟	Cantonese
屌佢老母	Cantonese
都無乜	Cantonese
柒咗	Cantonese
唔好話	Cantonese
同佢一齊	Cantonese
嘅意思	Cantonese
唔玩	Cantonese
住咗	Cantonese
可以咁	Cantonese
結咗婚	Cantonese
嘢食	Cantonese
唔怪得	Cantonese
控制唔到	Cantonese
返出嚟	Cantonese
邊啲	Cantonese
我冇	Cantonese
唔關事	Cantonese
到啦	Cantonese
企出嚟	Cantonese
又唔係	Cantonese
咋喎	Cantonese
冚家剷	Cantonese
你唔係	Cantonese
你會唔會	Cantonese
嘅分別	Cantonese
咁多錢	Cantonese
唔好意思	Cantonese
呀呀	Cantonese
出唔到	Cantonese
我唔係	Cantonese
唔到佢	Cantonese
吓半	Cantonese
佢地會	Cantonese
嘅女人	Cantonese
都唔係好	Cantonese
家吓	Cantonese
嘅日子	Cantonese
曬啦	Cantonese
嘅工	Cantonese
喺佢	Cantonese
咗自己	Cantonese
嘅垃圾	Cantonese
唔得閒	Cantonese
係啲	Cantonese
叫佢地	Cantonese
冇錯	Cantonese
就算啦	Cantonese
就唔知	Cantonese
身邊嘅人	Cantonese
嘅角色	Cantonese
唔係問題	Cantonese
對唔住	Cantonese
唔靚	Cantonese
冇錯	Cantonese
咁巖	Cantonese
有冇諗過	Cantonese
唔係比你	Cantonese
而家嘅	Cantonese
我唔	Cantonese
升咗	Cantonese
大啲	Cantonese
開嘅	Cantonese
最好嘅	Cantonese
大家嘅	Cantonese
睇唔起	Cantonese
唔合理	Cantonese
咁貴	Cantonese
出到嚟	Cantonese
又唔	Cantonese
嗰吓	Cantonese
走咗去	Cantonese
唔高	Cantonese
唔好用	Cantonese
咁佢	Cantonese
唔熟	Cantonese
嘅情況吓	Cantonese
嘅心態	Cantonese
咗一個	Cantonese
唔知咩	Cantonese
鍾意佢	Cantonese
政府嘅	Cantonese
嚟啦	Cantonese
係咁	Cantonese
出返嚟	Cantonese
又唔想	Cantonese
又唔洗	Cantonese
狗咁	Cantonese
就得啦	Cantonese
後嘅	Cantonese
唔清楚	Cantonese
做啦	Cantonese
走出嚟	Cantonese
吓季	Cantonese
咁玩膠	Cantonese
睇嘅	Cantonese
用佢	Cantonese
唔撚係	Cantonese
班撚樣拎嚟	Cantonese
班撚樣拎嚟咁玩膠	Cantonese
女性議員唔係比你	Cantonese
唔到你	Cantonese
嘅位	Cantonese
賣咗	Cantonese
唔公平	Cantonese
唔記得咗	Cantonese
啲啦	Cantonese
唔清	Cantonese
揀咗	Cantonese
呀屌	Cantonese
之後嘅	Cantonese
根本唔係	Cantonese
而唔係	Cantonese
佢對	Cantonese
唔贏	Cantonese
開唔到	Cantonese
拉咗	Cantonese
拍咗	Cantonese
笑鳩	Cantonese
行出嚟	Cantonese
好似冇	Cantonese
唔放	Cantonese
有冇人知	Cantonese
根本唔會	Cantonese
加咗	Cantonese
因為佢	Cantonese
咁低	Cantonese
嚟打	Cantonese
想佢	Cantonese
學吓	Cantonese
有冇諗過	Cantonese
冇嘢	Cantonese
咁差	Cantonese
驚佢	Cantonese
嘅能力	Cantonese
咁點解	Cantonese
唔夾	Cantonese
緊嘅	Cantonese
有咁多	Cantonese
唔搭	Cantonese
睇咗	Cantonese
壞咗	Cantonese
睇啦	Cantonese
不過佢	Cantonese
嗰陣時	Cantonese
幫佢地	Cantonese
死佢	Cantonese
唔好彩	Cantonese
唔少人	Cantonese
我啦	Cantonese
得嘅	Cantonese
點解唔	Cantonese
就喺	Cantonese
大家唔好	Cantonese
你知唔知	Cantonese
耐咗	Cantonese
你知唔知	Cantonese
分咗	Cantonese
咁啦	Cantonese
撚咗佢	Cantonese
佢打	Cantonese
有冇咩	Cantonese
收唔到	Cantonese
走唔到	Cantonese
唔係要	Cantonese
唔等於	Cantonese
唔搞	Cantonese
等咗	Cantonese
唔撚識	Cantonese
大佢	Cantonese
俾咗	Cantonese
唔夠	Cantonese
嘅心	Cantonese
唔緊要	Cantonese
拎唔到	Cantonese
乜乜乜	Cantonese
嘅小	Cantonese
的情況吓	Cantonese
到佢地	Cantonese
嘅人生	Cantonese
咗好多次	Cantonese
真係唔係	Cantonese
會唔會係	Cantonese
得唔好	Cantonese
好攰	Cantonese
嚟自	Cantonese
嗰間	Cantonese
都唔記得	Cantonese
嘅名	Cantonese
記唔記得	Cantonese
希望佢	Cantonese
呀你	Cantonese
嘅說話	Cantonese
嘅好	Cantonese
應唔應該	Cantonese
勁嘅	Cantonese
咁辛苦	Cantonese
會好啲	Cantonese
又係咁	Cantonese
咁難	Cantonese
其實佢	Cantonese
唔跟	Cantonese
食嘅	Cantonese
你睇吓	Cantonese
斷咗	Cantonese
出嚟啦	Cantonese
嘅路	Cantonese
撚鳩	Cantonese
咁就	Cantonese
啦我	Cantonese
冇人會	Cantonese
唔出奇	Cantonese
發生咗	Cantonese
要唔要	Cantonese
唔適合	Cantonese
唔係我	Cantonese
食嘢	Cantonese
我唔知	Cantonese
分唔到	Cantonese
喺我	Cantonese
唔明	Cantonese
出嚟做野	Cantonese
都搵唔到	Cantonese
唔重要	Cantonese
啱呀	Cantonese
行咗	Cantonese
都唔應該	Cantonese
仲好啦	Cantonese
搞到咁	Cantonese
快啲	Cantonese
咁點	Cantonese
一鳩	Cantonese
少少嘅	Cantonese
仔嘅	Cantonese
都唔見	Cantonese
國家嘅	Cantonese
留喺	Cantonese
咗隻	Cantonese
都唔駛	Cantonese
佢有	Cantonese
唔好搞	Cantonese
唔係佢	Cantonese
討論吓	Cantonese
你睇吓	Cantonese
嚟做乜	Cantonese
咁話	Cantonese
咁早	Cantonese
啲講	Cantonese
唔鬱	Cantonese
唔可以	Cantonese
收咗皮	Cantonese
唔見咗	Cantonese
都喺	Cantonese
嘅新	Cantonese
嘅可以	Cantonese
瞓唔著	Cantonese
咁多次	Cantonese
唔叫	Cantonese
先咁	Cantonese
咁多嘢	Cantonese
又唔識	Cantonese
咁打	Cantonese
都入唔到	Cantonese
都唔差	Cantonese
冇睇	Cantonese
錢嘅	Cantonese
都係佢	Cantonese
吓一步	Cantonese
嘅工作	Cantonese
嘅世界	Cantonese
唔到人	Cantonese
但唔好	Cantonese
屌佢	Cantonese
放棄咗	Cantonese
仔咁	Cantonese
你唔會	Cantonese
咗咁多年	Cantonese
佢唔會	Cantonese
鳩叫	Cantonese
陪佢	Cantonese
唔記得	Cantonese
嘅片	Cantonese
搞鳩	Cantonese
唔捨得	Cantonese
吓就	Cantonese
咁細	Cantonese
吓嘅	Cantonese
唔同意	Cantonese
整咗	Cantonese
聽唔到	Cantonese
都係冇	Cantonese
唔甩	Cantonese
喺邊	Cantonese
唔收	Cantonese
講到咁	Cantonese
駁唔到	Cantonese
嘅一種	Cantonese
唔好做	Cantonese
漏咗	Cantonese
佢應該	Cantonese
吧啦	Cantonese
睇唔明	Cantonese
打嚟	Cantonese
搵啲	Cantonese
就係佢	Cantonese
嗰陣	Cantonese
黃嘅	Cantonese
吓啲	Cantonese
吓盤	Cantonese
佢個樣	Cantonese
都唔理	Cantonese
手足嘅	Cantonese
啲咁	Cantonese
攞咗	Cantonese
所講嘅	Cantonese
冇哂	Cantonese
事啦	Cantonese
多唔多	Cantonese
笑咗	Cantonese
其他嘢	Cantonese
不嬲都係	Cantonese
咁嘅	Cantonese
搵咗	Cantonese
嚟食	Cantonese
點解咁	Cantonese
屙尿	Cantonese
佢點	Cantonese
唔知自己	Cantonese
咁大	Cantonese
好似你咁	Cantonese
嘅相	Cantonese
唔夠人	Cantonese
佢就會	Cantonese
犯咗	Cantonese
明唔明	Cantonese
嚟過	Cantonese
你咁	Cantonese
生嘅	Cantonese
佢出	Cantonese
唔明點解	Cantonese
乜春	Cantonese
推爆佢	Cantonese
鳩噏	Cantonese
你咁講	Cantonese
中國嘅	Cantonese
食屎啦	Cantonese
低咗	Cantonese
碌鳩	Cantonese
吓吓	Cantonese
有啲人	Cantonese
就預咗	Cantonese
佢自己	Cantonese
乜都冇	Cantonese
一齊咗	Cantonese
企喺	Cantonese
又唔夠	Cantonese
遲咗	Cantonese
我都唔會	Cantonese
炒咗	Cantonese
咁多個	Cantonese
嗰套	Cantonese
因為佢地	Cantonese
吖嘛	Cantonese
嘅表現	Cantonese
搵吓	Cantonese
都冇問題	Cantonese
我哋嘅	Cantonese
叫佢	Cantonese
醒咗	Cantonese
唔存在	Cantonese
佢好似	Cantonese
高啲	Cantonese
唔番	Cantonese
有冇巴打	Cantonese
名嘅	Cantonese
唔好食	Cantonese
咁去	Cantonese
佢係咪	Cantonese
女嘅	Cantonese
出名嘅	Cantonese
靚嘅	Cantonese
戇鳩仔	Cantonese
見到啲	Cantonese
咁滯	Cantonese
佢兩個	Cantonese
嘅方式	Cantonese
出咗	Cantonese
所有嘢	Cantonese
以前嘅	Cantonese
唔同	Cantonese
就唔使	Cantonese
咁囉	Cantonese
唔係個個	Cantonese
信唔信	Cantonese
我都唔知	Cantonese
高嘅	Cantonese
傾吓計	Cantonese
你呢啲	Cantonese
鳩我	Cantonese
嘅唔係	Cantonese
唔受	Cantonese
嘅車	Cantonese
執咗	Cantonese
嘢講	Cantonese
冇理由	Cantonese
咁如果	Cantonese
老咗	Cantonese
都唔割	Cantonese
緊佢	Cantonese
但又唔	Cantonese
旗吓	Cantonese
佢嘅	Cantonese
唔係因為	Cantonese
嘅球員	Cantonese
吓個月	Cantonese
生咗	Cantonese
一鳩樣	Cantonese
都唔比	Cantonese
佢走	Cantonese
傷咗	Cantonese
一樣嘢	Cantonese
嘅結果	Cantonese
多咗好多	Cantonese
嘅故事	Cantonese
唔知道	Cantonese
唔一定要	Cantonese
贏唔到	Cantonese
唔能夠	Cantonese
有唔同	Cantonese
啦仲	Cantonese
咁即係	Cantonese
對佢地	Cantonese
長嘅	Cantonese
岀嚟	Cantonese
唔好比	Cantonese
會喺	Cantonese
信佢	Cantonese
前嘅	Cantonese
啲垃圾	Cantonese
嘅話就	Cantonese
細嘅	Cantonese
咗人	Cantonese
之前嘅	Cantonese
幾咁	Cantonese
我啲	Cantonese
歲嘅	Cantonese
唔屌	Cantonese
搞成咁	Cantonese
事嘅	Cantonese
唔單止	Cantonese
買嘅	Cantonese
不過佢	Cantonese
睇吓有冇	Cantonese
坐咗	Cantonese
咁嘅樣	Cantonese
等佢地	Cantonese
唔會係	Cantonese
番佢	Cantonese
咁都	Cantonese
有唔少	Cantonese
撚啲	Cantonese
我同佢	Cantonese
抽咗	Cantonese
冇話	Cantonese
嚟玩	Cantonese
正常嘅	Cantonese
唔駛	Cantonese
唔只	Cantonese
衰咗	Cantonese
嘅行動	Cantonese
冇辦法	Cantonese
嘅人係	Cantonese
聽佢	Cantonese
寫咗	Cantonese
散咗	Cantonese
支持佢	Cantonese
吓咁	Cantonese
唔好話	Cantonese
唔方便	Cantonese
佢只係	Cantonese
唔同咗	Cantonese
做啲	Cantonese
識咗	Cantonese
